"TotMilch_Menge_inkl_LI","CH_Milchpreis","Molkerei_Milchpreis","Verkaest_Milchpreis","Gewerblich_Milchpreis","Bio_Milchpreis","EU_Milchpreis_CHF","Kurs_CHF_Euro","Total_Staatlich_Zahlung","staatlich_kg_Milch","Kontingent_01","Freihandel_01","EU_Politik_01","Industriell_verk채st_Milchpreis","Import_Menge_K채se_und_Quark_kg","Schlachtungen_K체he","Magermilchpulver_Prod_Menge","Vollmilchpulver_Prod_Menge","Butter_Prod_Menge","Export_Menge_K채se_und_Quark_kg","Milchpreis_NZ_Euro"
252641,80.69,79.6892651086035,79.95,78.41,91.83,49.627051,1.6097,38803433.55,15.3591196797036,1,0,1,81.2863009665862,2134511,NA,NA,NA,NA,3695102,15.75
250995,80.19,79.2007841329699,79.76,78.8,91.77,48.576587,1.6069,62519596.6999999,24.9087020458574,1,0,1,80.5633680211257,2528832,NA,NA,NA,NA,3955503,15.75
281466,79.66,78.7119415653044,78.6,78.52,91.02,47.399884,1.6046,60657618.05,21.550602221938,1,0,1,78.6755545019177,2627543,NA,NA,NA,NA,5005533,15.75
290366,78.28,77.4777136212004,78.1,77.97,90.1,45.24675,1.5738,61471525.4999999,21.1703593051528,1,0,1,78.2078668549164,2454816,NA,NA,NA,NA,3990677,15.75
298292,75.58,73.4473165248244,75.62,78.06,91.54,43.971125,1.5565,65775026.25,22.0505498806539,1,0,1,73.8978928964785,2925305,NA,NA,NA,NA,4408835,15.75
259239,78.33,76.6056129180653,77.47,78.33,94.05,44.06435,1.5598,73322535.5,28.2837595809273,1,0,1,76.8934659970765,2552003,NA,NA,NA,NA,3916688,19.72
255706,79.2,78.4366768213274,78.61,78.95,95.67,46.36892,1.5508,65498540.0499999,25.6147841857445,1,0,1,78.4308335428353,2415980,NA,NA,NA,NA,4351183,19.72
234750,80.23,79.175096116627,79.98,79.91,96.67,48.676656,1.5512,68793011.5,29.3047972310969,1,0,1,80.0200871666674,2956831,NA,NA,NA,NA,4569101,19.72
262829,81.12,79.8840065474968,80.58,80.51,96.54,49.0212,1.53,67401524.5999999,25.6446300065822,1,0,1,80.6191671446787,2674405,NA,NA,NA,NA,6159278,19.72
266645,80.27,78.8492155272526,80.49,81.06,96.23,50.54422,1.5133,73470550.5999999,27.553695212736,1,0,1,80.1916866429789,2351454,NA,NA,NA,NA,4143877,19.72
260321,79.6,78.3254831347074,79.35,80.03,95.62,51.146106,1.5213,55859580.5999999,21.4579617472274,1,0,1,78.9872585383946,2430292,NA,NA,NA,NA,4661262,19.72
283805,79.72,78.198268921353,79.57,79.99,95.08,49.748745,1.5135,65884217.6999999,23.2146078117017,1,0,1,79.30569039523,2776439,NA,NA,NA,NA,5021449,19.72
273767,79.48,78.2334519320528,79.28,79.51,95.4,49.970988,1.5291,35507998.7833333,12.970153007241,1,0,1,79.1031242743184,2503567,15437,1885,1197,4214,3957109,17.89
251207,79.28,78.0095777197447,79.02,79.39,95.56,49.41239,1.5355,31272736.8833332,12.4489910246662,1,0,1,78.7561550144097,2403726,11851,1702,1386,3588,3938958,17.84
290686,76.6,75.016108160207,77.39,79.54,92.37,48.128838,1.5357,37159464.0833332,12.7833690247667,1,0,1,75.7386671101851,2892806,12630,1877,1819,3732,4774816,17.35
290469,76.25,74.6050427015844,76.7,79.21,92.26,47.664866,1.5287,37008972.3833333,12.741109165981,1,0,1,75.2705896714126,2462995,10978,1989,1968,3955,4267277,17.19
303318,77.68,76.2093857354461,77.67,79.55,92.93,47.667396,1.5337,34364155.1333333,11.329415047354,1,0,1,76.5456466115279,2675176,12322,2911,1125,4403,5151557,18.21
270196,80.06,78.9312822943021,79.58,79.85,95.77,47.9283,1.5225,54596232.5333332,20.2061586897412,1,0,1,79.4354189321008,2692085,11873,1313,1197,3140,8729645,19.53
261197,81.56,80.7979869803373,80.31,79.97,98.46,49.049294,1.5134,44128773.9333333,16.8948241876183,1,0,1,80.4973045000828,2686370,12672,966,1206,2882,1750168,19.11
249447,82.4872237890251,81.421269213372,82.15,80.75,97.64,51.247296,1.5144,48459141.6833333,19.4266283752995,1,0,1,82.8657998085846,2906555,14296,1048,1115,2506,2634459,19.25
265896,83.1634886345225,82.1670995234897,82.7,81.34,98.11,51.783849,1.4919,38012648.0333332,14.2960586219173,1,0,1,83.369646311211,2401143,16347,914,1195,2562,3683928,18.5
273803,82.0631390614662,80.8225764360803,82.03,81.64,95.68,51.919164,1.4796,38680279.9333332,14.1270475244366,1,0,1,82.2252203375514,2422224,18197,1142,1260,3235,4581360,18.42
247304,81.2791775398477,80.1016956632462,80.73,81.81,96.6,52.016755,1.4665,47856614.6333333,19.3513306025512,1,0,1,80.0988095601636,2495920,19925,1035,1104,2414,5410227,18.86
256771,81.22,80.03,81.02,81.36,96.25,51.320383,1.4743,44541545.6833332,17.3467976069468,1,0,1,80.7808679299916,2702333,13320,1952,989,3027,4219981,18.77
266933,80.47,79.21,80.46,81.02,95.66,49.210182,1.4738,49717176.6833333,18.6253391987253,1,0,1,80.0350301132728,2412422,18424,1715,1122,4136,4174926,19.34
251263,80.52,79.38,80.09,80.68,96.49,47.94163,1.4774,45989800.4333331,18.3034511381831,1,0,1,79.6423715943743,2539678,13426,2416,1272,3997,3379912,19.39
288821,78.64,77.54,78.25,79.77,94.06,46.25668,1.468,48826245.5833332,16.9053654628068,1,0,1,77.1281962173312,3381371,13455,2432,1592,4043,4786030,19.9
294299,77.66,76.2,78.05,79.94,93.58,44.0533,1.466,47544420.8333333,16.1551418228853,1,0,1,76.7710036572283,2695322,13417,3318,1415,4452,4011162,20.16
310965,76.29,74.95,76.64,78.7,90.55,42.710444,1.4567,52026715.7333332,16.7307303823045,1,0,1,75.2790866953849,2434538,13874,3163,1323,4520,4097460,20.26
268492,78.66,77.58,78.2,78.83,93.44,42.867708,1.4716,47016937.1833333,17.5114853266888,1,0,1,77.915578005471,2293188,12386,1344,1302,3128,5778011,14.05
263516,79.37,78.52,78.68,79.66,94.22,43.570854,1.4626,45287887.4833332,17.1860105205503,1,0,1,78.2263170362704,2712329,13124,2274,967,3855,2765125,13.29
248204,77.25,75.54,78.69,79.91,91.12,45.219871,1.4639,43053786.9833333,17.3461293868484,1,0,1,78.5537058820079,2380374,13584,2724,636,3310,2751462,13.01
265465,78.58,76.75,81.05,81.21,92.76,46.44367,1.4651,45668392.5833332,17.2031689990519,1,0,1,80.9793208510881,2548143,16572,1940,1603,2887,3920858,13.15
261665,80.56,79.28,81.7,80.47,95.06,47.872932,1.4649,49716005.5833332,18.9998683749578,1,0,1,82.2639639561907,2615427,20793,1040,2583,2568,4559989,13.45
240337,77.31,76.42,76.13,76.51,91.02,48.024729,1.4673,43716245.9833332,18.1895613173724,1,0,1,75.9924041881515,2604972,17564,1136,2122,2443,4743279,13.61
253214,75.86,74.98,75.76,76.15,90.23,47.28428,1.468,37152755.7333333,14.6724729806935,1,0,1,75.7159906258276,2645709,13695,3516,2266,2945,4978475,13.73
261805,75.41,74.33,75.63,76.02,90.49,45.506776,1.4623,47674360.35,18.2098738946926,1,0,1,75.5892051167145,2316106,17641,2298,2697,3775,3888801,13.96
244912,75.59,74.7,75.49,75.82,89.68,44.925664,1.4672,47821415.5,19.5259585075456,1,0,1,75.487366378373,2367283,14951,2577,1480,3632,4567195,14.09
286700,73.28,72.35,73.18,74.75,87.07,43.46771,1.469,49186507.8499999,17.1560892396233,1,0,1,72.3958549947366,2662540,14250,2913,1494,4004,3379657,14.06
290040,72.49,71.4,72.79,74.44,86.49,43.06752,1.4954,51832269.15,17.8707313301614,1,0,1,71.9012434085774,3071314,11194,3094,1947,4371,4014871,13.93
303425,72.64,71.68,72.48,73.76,86.01,42.86884,1.5148,51409870.7999999,16.9431888605092,1,0,1,71.8986573514401,2959978,13086,3638,1818,4302,3854307,13.66
256585,74.23,73.3,73.66,74.07,88.21,43.394382,1.5399,50832705.9499999,19.8112539509324,1,0,1,73.6921178633378,2646728,12504,1886,1111,2907,4331724,15.9
252669,74.5,73.69,73.66,73.86,88.8,44.773074,1.5471,51187816,20.2588429922151,1,0,1,73.7861319328211,2712015,14105,2047,1226,3161,4041132,16.47
244176,77.01,76.02,76.78,74.02,92.15,46.427656,1.5404,55000511.4,22.5249456949086,1,0,1,78.1609866606883,2644339,16318,1625,1043,2619,3045172,16.69
270103,78.22,77.41,77.69,75,92.9,48.201404,1.5469,56248412.7999999,20.824801205466,1,0,1,79.1699033571965,2974617,15367,1534,1541,2394,6377065,16.61
266266,78.896,77.4265270765504,77.57,75.35,92.31,49.632086,1.5481,57740156.1,21.6851404610427,1,0,1,78.8414572775538,2334626,18167,1880,1387,3057,3504431,16.42
242368,77.3577985154126,76.1452599888223,75.68,74.7,88.9637294074653,50.283662,1.5587,56989394.7,23.5135804644177,1,0,1,76.4802160723156,2478452,16040,1647,1379,2396,4245495,17.14
255469,76.7883542753395,75.4288288038967,75.56,74.71,88.0591236627545,48.621723,1.5549,47280886.0499999,18.5074846850302,1,0,1,76.1314787887288,2909446,12996,2676,1275,3561,4538342,16.81
265834,76.3167851864506,75.1018945055943,74.94,74.26,87.1271732221668,48.580422,1.5661,48191589.9833333,18.1284523361697,1,0,1,75.4469864464719,1949501,16801,2707,1443,4114,3693920,17.01
257450,75.8560113711369,74.728908120662,74.69,74.07,86.1962975212374,47.853702,1.5731,47805230.3333332,18.5687435748041,1,0,1,75.1488828366471,2334921,13923,2486,1070,3470,3727363,17.47
284428,74.5074308153767,73.4105171547239,73.04,73.73,85.0944738897747,46.669014,1.5666,46317883.7333333,16.2845724518449,1,0,1,72.6115153826674,3048801,12760,2824,1395,3939,4858134,17.19
286692,72.3067893046049,71.1368377532408,71.19,73.05,82.5626813592461,42.925267,1.5547,53171582.8833332,18.5465875864458,1,0,1,70.0213458356111,2750956,9176,3867,831,4708,4261547,17.05
307291,70.5680795367501,69.3376638613202,69.9,71.79,79.748315764388,42.341184,1.5408,53623297.5333332,17.4503312929221,1,0,1,68.6982874059835,2658475,12397,3118,1322,4256,2995358,16.37
268627,73.0797945026503,71.4022431715043,72.9,72.31,84.1075972265335,41.779437,1.5187,56296269.4333332,20.9570405928418,1,0,1,73.2158541324667,2877896,11198,1844,1320,3237,4081066,15.05
253391,74.2801856154485,72.530585218597,73.94,72,86.9266793733607,43.66648,1.5268,48930189.7833332,19.3101529980675,1,0,1,74.8455486388155,2678615,10381,1752,1364,3132,3672589,15.34
244841,76.1492615664231,74.2611257932302,76.17,72.93,89.6911547328123,45.06633,1.5381,48858403.4833332,19.9551559923923,1,0,1,77.5396465013897,2853688,13229,1222,1543,2547,3826184,15.63
271017,77.0558735117792,75.5649414203011,76.23,73.66,90.3545327531802,46.524465,1.5431,46936603.8833333,17.3186936182355,1,0,1,77.537408712629,2631416,14034,1009,1780,2213,4693264,16.49
269477,76.589304446506,75.040474682106,75.72,73.65,88.4584987217197,47.592295,1.5427,46803976.5333333,17.3684494533238,1,0,1,76.8654798774697,2326323,16142,1485,1897,2600,4689466,16.72
243708,75.1402279771253,74.0421589376748,74.23,73.8,84.7848863439257,47.413415,1.5221,45189190.3333333,18.5423499980851,1,0,1,74.470219986094,2569869,17555,1307,1428,2485,5331122,17.51
259229,74.932447514723,73.6535517454286,74.31,73.68,84.0536175269038,47.259643,1.5359,53300893.6333332,20.5613159150146,1,0,1,74.7751942961994,2854679,11345,2541,1439,3336,5062137,17.31
269538,74.3381160250313,73.1660938817181,73.6,72.8,83.6732944690743,45.797787,1.5467,34651761.1333332,12.855983621357,1,0,1,74.1968378463205,2212935,14739,2325,1989,3994,3739054,18.22
249044,72.7650680081268,71.8373260123799,71.68,73.45,81.7464421422286,45.598058,1.5499,46312085.9333333,18.5959452680383,1,0,1,70.4504870404051,2406026,11413,2542,1203,3447,3964359,18.67
289220,71.9739201164634,71.1156490242276,71.03,72.53,80.1870224064925,44.499897,1.5489,48448176.4333332,16.7513230182329,1,0,1,70.1039743776319,3047103,11525,2840,1578,4146,4700404,18.78
292360,71.2975573094238,70.4058299951843,70.39,72.08,79.4380965830097,42.916554,1.5471,53597873.1833333,18.332833897706,1,0,1,69.2938318646882,2529666,9684,3662,1369,4308,4159104,18.89
304655,68.0471558521156,67.0330125805002,68.41,71.44,73.4669133183979,42.312072,1.5448,54874932.7833332,18.0121556460039,1,0,1,66.4842966325701,2890432,13972,3005,1325,4418,3932453,19.24
266827,70.4743270806536,69.0756833084454,70.44,71.06,80.3550474823487,42.22359,1.5382,54795662.0833332,20.5360259956201,1,0,1,70.1494169898093,2695134,10897,2093,1361,3242,3607423,16.91
254470,71.8981889904616,70.0261444673475,71.91,71.82,84.1809055371482,43.517733,1.5581,49700574.2333332,19.5310151425839,1,0,1,71.951262199097,2431791,10177,1635,1133,2813,4019266,16.39
245169,74.1780675490401,72.1531191037619,74.52,72.65,86.258137275873,45.211712,1.5526,49433926.8833333,20.1632045174281,1,0,1,75.3200216143447,2854693,13460,1128,1275,2477,4123729,17.09
266546,74.7102812449211,72.8869740289968,74.47,73.03,87.0225118946673,46.101216,1.5491,49109706.7833333,18.4244771196466,1,0,1,75.1614096227943,2529644,14977,1136,1396,2197,4757157,17.24
268840,74.6875372919239,72.9298804854307,74.7,73.53,85.5175218303851,46.823247,1.5489,53549055.0333332,19.9185593785647,1,0,1,75.3111153780039,2550324,15890,1530,1595,2362,4562453,17.54
243500,72.9610440823508,71.5226954828885,72.89,74.07,81.8056460912736,46.804108,1.5452,51617460.6333333,21.1981357837098,1,0,1,72.2289595663594,2875327,16474,1636,1367,2250,5339994,17.68
253052,72.6889784864563,71.1467498181863,73.21,74.57,81.1971962282314,46.35661,1.5478,59979820.0333333,23.702567074488,1,0,1,72.3918811105321,2889369,10861,2252,944,2914,4803074,17.69
262690,72.8034355540436,70.9822686931133,73.24,73.82,80.371973312579,44.61408,1.5491,32769156.8999999,12.4744592104762,1,0,1,72.3737439309341,2305601,15982,2567,1412,3826,3675728,17.15
248074,71.6610581925368,69.8494152281633,71.45,73.99,78.8882728581218,44.334988,1.5578,47361120.75,19.0915294428275,1,0,1,67.6558592438871,2490154,10972,2305,1311,3141,3830563,17.01
286167,71.0360600209011,68.718721278247,71.14,73.65,77.6120839395577,43.267504,1.5688,50101693.85,17.5078516565502,1,0,1,67.3733909872978,2902580,10755,2578,1086,4136,4294194,16.24
290643,70.1439477414298,68.011049024596,70.58,73.1,74.2183844799889,42.144324,1.5749,52560905.9,18.0843529347,1,0,1,66.8014340695399,2634892,8355,3229,1225,3996,3655129,15.59
304211,69.9409641276112,67.4264910067572,70.73,73.59,75.1455133580289,41.293945,1.5565,46986597.8499999,15.4453973886546,1,0,1,66.4426501036442,3219185,16002,2997,1553,4045,4269473,15.2
266436,71.4972058926652,69.4473221813127,71.77,73.44,79.7049177801135,41.2932,1.56,54445942,20.4349044423426,1,0,1,69.2661697524143,2896319,11986,1915,1308,2908,3880051,14.97
252642,72.6382830067278,71.0531390329309,72.61,73.45,82.2723584963394,41.991422,1.5686,49248293.05,19.4933118998425,1,0,1,71.3587493316002,2693350,11302,1526,1064,2912,3866124,14.87
248366,74.7032722943522,73.7047669875146,74.13,74.28,85.0990932417485,44.26465,1.5775,45083876.35,18.152193275247,1,0,1,73.9163014907685,2991848,14423,797,1361,2287,4414459,15.16
269284,75.0937366598799,73.7578564194783,74.98,74.88,85.1731357333786,45.357168,1.5837,46032816.1499999,17.0945233099627,1,0,1,75.1288516078069,2667566,14064,867,1575,1987,4208745,15.72
268096,74.5732607965187,72.8943911417727,74.86,75.11,83.9515464577391,46.26027,1.5897,47714300.45,17.797468238989,1,0,1,74.4915805393391,2748429,16806,1553,1590,2360,5234984,16.04
249141,73.6837348728305,71.7732826491886,74.32,75.42,81.7418884859174,46.874368,1.5922,47692593.4,19.1428120622459,1,0,1,72.6808718811732,2909739,15960,1461,1075,2266,4861044,15.88
259223,73.1070055514127,71.2901343880719,73.74,75.15,81.2857475506083,46.285434,1.5966,48385216.9,18.6654798763999,1,0,1,71.6331710577749,2900386,10995,2009,1197,3029,4752735,16
274482,70.43817512273,68.4029004394123,71.24,72.79,78.6019637188786,46.402904,1.6157,39895927.0499999,14.5349884691892,1,0,1,68.9143786866857,2667115,16705,2379,1505,3640,3695667,16.88
255294,68.1528631434603,65.7034604748742,69.42,71.85,74.246556488888,46.320541,1.6213,42668894.45,16.7136299521336,1,0,1,65.7710205902721,2580402,11517,2419,1102,3315,3861854,16.74
292819,67.4959287158972,64.8741518849555,68.86,71.62,74.0388444312689,44.959288,1.6126,42868884.8499999,14.6400625813215,1,0,1,64.723723730514,3058447,10965,2535,1103,3777,4216551,16.66
303826,66.9308960823438,64.1679822850518,68.52,71.11,72.1559779837275,45.159492,1.6374,49176118.6999999,16.1856189727014,1,0,1,64.6455223968437,2898393,8658,3546,1437,4186,3686466,17.98
300271,66.4594620610492,63.1868840750858,68.03,71.03,71.463057783421,45.6885,1.65,44762910.05,14.9075035717735,1,0,1,63.5335236846267,3135351,12771,2963,1450,3743,4372489,17.95
258910,69.4315105782381,67.3010333533275,69.86,71.26,78.7401753410985,47.359746,1.6542,52969154.1499999,20.4585200069522,1,0,1,67.7469399527237,3219528,11184,1185,1245,2271,3952537,23.72
252517,71.3477787017252,69.6117488255066,71.64,72.6,79.7542909484757,50.297412,1.6567,47205899.1499999,18.6941469881235,1,1,1,70.195255186954,3481920,10790,1627,1185,2765,4280647,27.89
248753,72.9621670633646,71.7268426279443,72.88,73.12,82.1564101239271,54.093231,1.6377,45902727.2499999,18.4531351380686,1,1,1,72.5167936168303,3389246,12300,1979,1411,2507,4683940,26
275651,73.7924262235943,72.4150804501066,73.62,74.02,84.6759436766444,58.272075,1.6475,44867943.8499999,16.2770836492521,1,1,1,73.0160654552558,3206180,12451,1066,1428,2257,5161214,24.96
278300,74.447803505918,73.1261747000758,74.59,74.34,82.8475758953458,64.828224,1.6704,43198779.6999999,15.522378620194,1,1,1,74.966617633872,3280454,15159,1997,1753,2691,5880142,25.98
